variant,weights,policy,objective_avg,loss_avg,bandwidth_avg,missed_avg,aoi_avg
base,0.45/0.2/0.18/0.1/0.07,rabs_h,0.17675988325565145,0.07156683864854443,2.2455736986986974,1.446937521080433,1.0246731106106108
base,0.45/0.2/0.18/0.1/0.07,rabs_l,0.16456503801979055,0.08995216733660748,1.1377705830830824,2.059025294300178,1.9401364906573253
base,0.45/0.2/0.18/0.1/0.07,rabs_pd,0.15956644795837502,0.07945754999791448,1.512246621621621,1.766836507550709,1.3079355397063717
risk_heavy,0.55/0.18/0.12/0.08/0.07,rabs_h,0.1717967795269229,0.06451290971961536,2.3179085335335294,1.2252866148010664,0.9711685643977308
risk_heavy,0.55/0.18/0.12/0.08/0.07,rabs_l,0.16480204488342493,0.09020174145499657,1.143293293293293,2.07525928044297,1.9245714464464485
risk_heavy,0.55/0.18/0.12/0.08/0.07,rabs_pd,0.15864963628993575,0.07850805721085671,1.514139139139138,1.7357622547975577,1.3050675675675683
aoi_heavy,0.35/0.18/0.3/0.1/0.07,rabs_h,0.18126677295785376,0.08634646202191773,1.9153184434434436,1.843546724022099,1.2205048798798797
aoi_heavy,0.35/0.18/0.3/0.1/0.07,rabs_l,0.16518340671400564,0.09055199405134304,1.133883883883884,2.074320095217011,1.9517371538204866
aoi_heavy,0.35/0.18/0.3/0.1/0.07,rabs_pd,0.159825637160598,0.07981025459052807,1.5088432182182197,1.7780809549096013,1.3107769227560901
channel_heavy,0.4/0.18/0.16/0.2/0.06,rabs_h,0.18197701314595854,0.08012516911442688,2.1213870120120117,1.704014761040116,1.1330909034034036
channel_heavy,0.4/0.18/0.16/0.2/0.06,rabs_l,0.16519271256934034,0.09053693178855929,1.133694632132132,2.0761123037547695,1.953866366366367
channel_heavy,0.4/0.18/0.16/0.2/0.06,rabs_pd,0.15933528515494674,0.07930695995474643,1.5088322697697711,1.7596261410169938,1.311668960627293
balanced,0.3/0.25/0.2/0.15/0.1,rabs_h,0.18481596212097512,0.08675623051436857,1.9852540040040032,1.8622048975955732,1.243304763096429
balanced,0.3/0.25/0.2/0.15/0.1,rabs_l,0.16525627613290375,0.09057407831008094,1.1313876376376373,2.0781878095747706,1.9617794878211554
balanced,0.3/0.25/0.2/0.15/0.1,rabs_pd,0.15932709206602438,0.07931386790436262,1.5081472097097097,1.7602996585878496,1.3124890515515504
